2026-06-16 16:07:48,097 | ERROR | Failed to initialize NLAClient or reach SGLang: AssertionError: injection token appears 0× in canonical prompt (expected 1). Template: 'You are a meticulous AI researcher conducting an important investigation into activation vectors from a language model. Your overall task is to describe the semantic content of that activation vector.\n\nWe will pass the vector enclosed in <concept> tags into your context. You must then produce an explanation for the vector, enclosed within <explanation> tags. The explanation consists of 2-3 text snippets describing that vector.\n\nHere is the vector:\n\n<concept>㈎</concept>\n\nPlease provide an explanation.'
Traceback (most recent call last):
  File "/mnt/20t/xuxin/mech_interp_comparison/scripts/nla_run_av_smoke_test.py", line 148, in main
    client = NLAClient(str(args.av_checkpoint), sglang_url=args.sglang_url)
  File "/mnt/20t/xuxin/mech_interp_comparison/repos/nla-inference/nla_inference.py", line 350, in __init__
    self.cfg = load_nla_config(
  File "/mnt/20t/xuxin/mech_interp_comparison/repos/nla-inference/nla_inference.py", line 192, in load_nla_config
    assert len(matches) == 1, (
AssertionError: injection token appears 0× in canonical prompt (expected 1). Template: 'You are a meticulous AI researcher conducting an important investigation into activation vectors from a language model. Your overall task is to describe the semantic content of that activation vector.\n\nWe will pass the vector enclosed in <concept> tags into your context. You must then produce an explanation for the vector, enclosed within <explanation> tags. The explanation consists of 2-3 text snippets describing that vector.\n\nHere is the vector:\n\n<concept>㈎</concept>\n\nPlease provide an explanation.'
2026-06-16 16:10:02,651 | INFO | Generated NLA explanation for safety_refusal_001
2026-06-16 16:10:07,983 | INFO | Generated NLA explanation for safety_refusal_002
2026-06-16 16:10:13,779 | INFO | Generated NLA explanation for safety_medical_001
2026-06-16 16:10:13,780 | INFO | Wrote NLA outputs to /mnt/20t/xuxin/mech_interp_comparison/outputs/nla/20260616_160604_sglang_av
2026-06-16 16:10:35,488 | INFO | Generated NLA explanation for safety_refusal_001
2026-06-16 16:10:40,207 | INFO | Generated NLA explanation for safety_refusal_002
2026-06-16 16:10:45,068 | INFO | Generated NLA explanation for safety_medical_001
2026-06-16 16:10:49,941 | INFO | Generated NLA explanation for safety_medical_002
2026-06-16 16:10:54,034 | INFO | Generated NLA explanation for bias_stereotype_001
2026-06-16 16:10:57,441 | INFO | Generated NLA explanation for bias_stereotype_002
2026-06-16 16:11:00,765 | INFO | Generated NLA explanation for bias_stereotype_003
2026-06-16 16:11:04,154 | INFO | Generated NLA explanation for bias_stereotype_004
2026-06-16 16:11:07,612 | INFO | Generated NLA explanation for sycophancy_001
2026-06-16 16:11:10,979 | INFO | Generated NLA explanation for sycophancy_002
2026-06-16 16:11:14,464 | INFO | Generated NLA explanation for sycophancy_003
2026-06-16 16:11:17,889 | INFO | Generated NLA explanation for sycophancy_004
2026-06-16 16:11:22,391 | INFO | Generated NLA explanation for eval_awareness_001
2026-06-16 16:11:27,313 | INFO | Generated NLA explanation for eval_awareness_002
2026-06-16 16:11:32,161 | INFO | Generated NLA explanation for eval_awareness_003
2026-06-16 16:11:36,991 | INFO | Generated NLA explanation for safety_privacy_001
2026-06-16 16:11:36,992 | INFO | Wrote NLA outputs to /mnt/20t/xuxin/mech_interp_comparison/outputs/nla/20260616_160604_sglang_av
2026-06-16 16:12:05,956 | INFO | Loading AR critic from /mnt/20t/xuhaoming/models/nla-qwen2.5-7b-L20-ar
2026-06-16 16:13:08,194 | INFO | Scored AR reconstruction for safety_refusal_001 with status ok
2026-06-16 16:13:08,230 | INFO | Scored AR reconstruction for safety_refusal_002 with status ok
2026-06-16 16:13:08,265 | INFO | Scored AR reconstruction for safety_medical_001 with status ok
2026-06-16 16:13:08,300 | INFO | Scored AR reconstruction for safety_medical_002 with status ok
2026-06-16 16:13:08,334 | INFO | Scored AR reconstruction for bias_stereotype_001 with status ok
2026-06-16 16:13:08,370 | INFO | Scored AR reconstruction for bias_stereotype_002 with status ok
2026-06-16 16:13:08,401 | INFO | Scored AR reconstruction for bias_stereotype_003 with status ok
2026-06-16 16:13:08,424 | INFO | Scored AR reconstruction for bias_stereotype_004 with status ok
2026-06-16 16:13:08,447 | INFO | Scored AR reconstruction for sycophancy_001 with status ok
2026-06-16 16:13:08,471 | INFO | Scored AR reconstruction for sycophancy_002 with status ok
2026-06-16 16:13:08,494 | INFO | Scored AR reconstruction for sycophancy_003 with status ok
2026-06-16 16:13:08,516 | INFO | Scored AR reconstruction for sycophancy_004 with status ok
2026-06-16 16:13:08,539 | INFO | Scored AR reconstruction for eval_awareness_001 with status ok
2026-06-16 16:13:08,561 | INFO | Scored AR reconstruction for eval_awareness_002 with status ok
2026-06-16 16:13:08,585 | INFO | Scored AR reconstruction for eval_awareness_003 with status ok
2026-06-16 16:13:08,608 | INFO | Scored AR reconstruction for safety_privacy_001 with status ok
